FREQ	ID	CORRECTED_ID	NAME_AS_IN_TEXT	REGULAR_EXPRESSION
000000059	@PID000000003	@PIDXXXXXXXXX	الجندي	@P\d\d \w*الجندي
000000019	@PID000000434	@PIDXXXXXXXXX	السلطان الملك المظفر	@P\d\d \w*السلطان[ ~\n]+الملك[ ~\n]+المظفر
000000014	@PID000000501	@PIDXXXXXXXXX	السلطان الملك المجاهد	@P\d\d \w*السلطان[ ~\n]+الملك[ ~\n]+المجاهد
000000014	@PID000000401	@PIDXXXXXXXXX	السلطان نور الدين	@P\d\d \w*السلطان[ ~\n]+نور[ ~\n]+الدين
000000014	@PID000000327	@PIDXXXXXXXXX	ابن الأديب	@P\d\d \w*ابن[ ~\n]+الأديب
000000011	@PID000000517	@PIDXXXXXXXXX	السلطان الملك المؤيد	@P\d\d \w*السلطان[ ~\n]+الملك[ ~\n]+المؤيد
000000011	@PID000000164	@PIDXXXXXXXXX	الملك المظفر	@P\d\d \w*الملك[ ~\n]+المظفر
000000010	@PID000000090	@PIDXXXXXXXXX	المجاهد	@P\d\d \w*المجاهد
000000009	@PID000000843	@PIDXXXXXXXXX	الفقيه إسماعيل بن محمد الحضرمي	@P\d\d \w*الفقيه[ ~\n]+إسماعيل[ ~\n]+بن[ ~\n]+محمد[ ~\n]+الحضرمي
000000009	@PID000000730	@PIDXXXXXXXXX	بني محمد بن عمر	@P\d\d \w*بني[ ~\n]+محمد[ ~\n]+بن[ ~\n]+عمر
000000009	@PID000000456	@PIDXXXXXXXXX	القاضي بهاء الدين	@P\d\d \w*القاضي[ ~\n]+بهاء[ ~\n]+الدين
000000008	@PID000000696	@PIDXXXXXXXXX	بنو محمد بن عمر	@P\d\d \w*بنو[ ~\n]+محمد[ ~\n]+بن[ ~\n]+عمر
000000008	@PID000000172	@PIDXXXXXXXXX	ابن النحوي	@P\d\d \w*ابن[ ~\n]+النحوي
000000007	@PID000000602	@PIDXXXXXXXXX	الفقيه عمر بن سعيد	@P\d\d \w*الفقيه[ ~\n]+عمر[ ~\n]+بن[ ~\n]+سعيد
000000007	@PID000000311	@PIDXXXXXXXXX	ابن الحرازي	@P\d\d \w*ابن[ ~\n]+الحرازي
000000007	@PID000000271	@PIDXXXXXXXXX	الملك الأشرف	@P\d\d \w*الملك[ ~\n]+الأشرف
000000007	@PID000000235	@PIDXXXXXXXXX	بنو عمران	@P\d\d \w*بنو[ ~\n]+عمران
000000007	@PID000000189	@PIDXXXXXXXXX	الإمام الشافعي	@P\d\d \w*الإمام[ ~\n]+الشافعي
000000007	@PID000000021	@PIDXXXXXXXXX	عدن	@P\d\d \w*عدن
000000006	@PID000000592	@PIDXXXXXXXXX	علي بن قاسم الحكمي	@P\d\d \w*علي[ ~\n]+بن[ ~\n]+قاسم[ ~\n]+الحكمي
000000006	@PID000000584	@PIDXXXXXXXXX	السلطان الملك الأفضل	@P\d\d \w*السلطان[ ~\n]+الملك[ ~\n]+الأفضل
000000006	@PID000000479	@PIDXXXXXXXXX	محمد بن علي	@P\d\d \w*محمد[ ~\n]+بن[ ~\n]+علي
000000006	@PID000000280	@PIDXXXXXXXXX	الدولة المؤيدية	@P\d\d \w*الدولة[ ~\n]+المؤيدية
000000006	@PID000000078	@PIDXXXXXXXXX	محمد	@P\d\d \w*محمد
000000006	@PID000000047	@PIDXXXXXXXXX	المظفر	@P\d\d \w*المظفر
000000006	@PID000000042	@PIDXXXXXXXXX	الأشرف	@P\d\d \w*الأشرف
